timestep,day,day_of_week,is_weekend,hour,num_vehicles,active_nodes,mean_node_load,max_node_load,mean_edge_load,max_edge_load,traffic,temperature,wind,aqi,disaster_type,disaster_zone,disaster_severity,zone_hazard,blocked_ratio,evacuated_count,evacuating_count,evac_rate,shelter_util,avg_response_time
0,0,0,0,0,20,49,1.1428571428571428,2.0,1.0,1.0,39.22677738580658,22.397371322408986,4.458520709648645,83.49641932121939,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
1,0,0,0,1,20,49,1.1428571428571428,2.0,1.0,1.0,40.16381586235171,23.365591570836457,4.378647652348849,83.53573364774185,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
2,0,0,0,2,20,45,1.2444444444444445,3.0,1.0,1.0,40.15904962197032,24.62442049125204,4.461806118752447,81.62417911391599,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
3,0,0,0,3,20,46,1.2173913043478262,3.0,1.0,1.0,39.486030006070216,26.436210504372113,3.486676098382482,83.34838746727745,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
4,0,0,0,4,20,46,1.2173913043478262,3.0,1.0,1.0,41.59055223782598,26.38588752643909,3.844274199778582,83.04781664315986,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
5,0,0,0,5,20,47,1.1914893617021276,2.0,1.0,1.0,43.26664072222454,28.968073972871654,3.3204956775078203,86.8734599147533,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
6,0,0,0,6,20,45,1.2444444444444445,2.0,1.0,1.0,49.29546948492324,27.564493820379855,3.0332767769129596,95.8893208055166,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
7,0,0,0,7,20,46,1.2173913043478262,3.0,1.0,1.0,67.04896758151676,27.315044005799365,2.5242633074082357,116.38552848279528,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
8,0,0,0,8,20,45,1.2444444444444445,3.0,1.0,1.0,78.44258909276229,27.185354642916284,1.9326867213132304,121.9384186376849,none,-1,0.0,0.0,0.0,0,0,0.0,0.0,-1.0
9,0,0,0,9,20,49,1.1428571428571428,2.0,1.0,1.0,74.42113038139354,26.40973156312309,1.3514387910562462,121.4568466280898,none,-1,0.0,0.0,0.0,0,0,0.0,0.3333333333333333,-1.0
10,0,0,0,10,20,47,1.1914893617021276,2.0,1.0,1.0,68.51057797088849,25.59077326399633,1.7523723786803331,113.75397117047494,none,-1,0.0,0.0,0.0,0,0,0.0,0.6666666666666666,-1.0
11,0,0,0,11,20,47,1.1914893617021276,3.0,1.0,1.0,65.56813328504755,22.370096678321183,1.335157998047985,112.57127144943287,none,-1,0.0,0.0,0.0,0,0,0.0,1.0,-1.0
